X,Y,Z
920,-291,1190
289,-1167,1034
-320,1344,-392
498,1062,295
823,-999,1407
-216,-78,280
11,1731,-350
931,67,1076
375,-1199,1126
-291,1227,-389
428,1293,70
794,-982,1401
-56,-396,450
-163,1693,-465
860,557,833
488,-1045,1198
-387,658,-138
311,1604,-124
796,-817,1357
41,-579,614
-287,1649,-541
661,925,464
631,-1073,1428
-339,366,-95
112,1902,-267
915,-383,1179
760,-1046,1433
-254,-45,228
19,1774,-407
926,-42,1086
368,-1217,1163
-368,1215,-318
477,1184,264
776,-964,1410
-79,-284,398
-147,1713,-447
915,365,970
496,-1082,1212
-398,821,-165
307,1608,-104
880,-620,1283
63,-546,729
-223,1627,-485
-302,186,24
28,1850,-391
978,0,1096
241,-933,936
-285,1400,-376
486,1177,168
750,-984,1361
-336,740,-230
876,-832,1311
-4,-375,524
-242,1710,-479
854,519,801
397,-1044,1104
-323,870,-251
336,1737,-15
842,-874,1359
59,-501,594
-216,1612,-520
674,778,620
692,-1264,1351
874,-309,1166
128,-684,773
-196,1592,-393
654,881,525
656,-1155,1347
-250,225,34
14,1731,-375
392,1442,76
741,-971,1269
-11,-284,463
-134,1709,-396
739,534,745
468,-1029,1119
-317,629,-120
126,1743,-129
901,-309,1144
165,-797,785
-204,1565,-347
581,846,466
704,-1149,1319
-114,-39,264
-50,1731,-335
854,224,930
435,-1183,1128
-275,1008,-298
396,1596,58
798,-909,1305
546,-1205,1170
-325,411,-73
234,1759,-89
828,-597,1156
79,-586,648
-173,1665,-426
698,818,616
557,-1117,1266
-291,491,-133
167,1818,-174
841,-448,1188
156,-736,768
-209,1639,-443
608,931,526
671,-1220,1269
-281,1215,-345
379,1446,6
806,-883,1320
21,-440,535
-208,1684,-476
669,814,509
616,-998,1396
-310,210,7
137,1815,-276
901,-90,1168
280,-1005,1022
-269,1406,-438
555,1031,346
830,-896,1466
-120,-193,289
-150,1734,-501
926,242,1017
360,-1151,1162
-318,773,-289
246,1788,-247
826,-554,1289
167,-756,920
-290,1446,-577
562,1019,497
786,-905,1440
-303,140,8
106,1768,-252
895,-114,1108
241,-889,1048
-297,1321,-510
50,-567,606
-324,133,-13
126,1790,-235
894,-168,1169
253,-986,1125
-261,1349,-512
508,1500,217
784,-1034,1507
-264,7,81
-31,1696,-438
899,448,972
468,-1167,1270
-323,841,-272
311,1716,-76
825,-836,1397
11,-463,678
-205,1584,-542
749,863,627
589,-1139,1321
-344,382,-145
191,1899,-231
844,-323,1211
226,-907,1018
-253,1472,-562
522,1160,311
782,-948,1434
-220,-45,181
-53,1703,-444
866,160,1060
24,-510,647
-218,1642,-518
736,744,688
594,-1025,1340
-273,264,-53
129,1849,-403
885,-140,1231
242,-1023,967
-242,1410,-464
478,1100,243
777,-930,1440
-189,-91,205
-53,1671,-446
849,525,836
443,-1131,1245
-314,830,-250
285,1644,-173
783,-801,1439
17,-389,473
-215,1716,-612
696,793,632
611,-976,1340
-295,176,-5
-53,1825,-458
892,94,1034
261,-998,1068
-268,1094,-410
336,1662,-59
780,-838,1355
88,-530,725
-279,1584,-527
578,1008,441
677,-1020,1353
-262,-5,160
46,1767,-441
852,-98,1133
251,-883,1057
-275,1260,-470
435,1381,161
747,-975,1423
-39,-341,445
-141,1656,-537
829,590,866
584,-1118,1310
-348,525,-170
241,1741,-144
819,-509,1282
200,-823,960
-272,1412,-536
515,1064,264
718,-930,1450
-81,-305,391
-239,1764,-493
802,600,793
470,-997,1233
-301,490,-146
91,1801,-238
877,-255,1231
195,-835,945
-252,1503,-501
668,-946,1422
-129,-170,215
-202,1711,-540
117,-596,712
-272,1516,-582
545,1169,450
680,-1018,1409
-233,-7,80
-48,1775,-436
875,54,1066
279,-978,1072
-289,943,-336
279,1826,-221
805,-656,1316
99,-567,747
-280,1569,-599
591,1001,553
662,-1075,1423
-282,95,24
54,1749,-304
872,-154,1156
267,-1008,1092
-292,1085,-382
375,1494,107
736,-788,1416
30,-463,609
-191,1616,-566
744,734,759
639,-1050,1332
-293,277,0
178,1781,-337
823,-460,1252
183,-787,898
-269,1402,-483
470,1164,173
715,-926,1449
-123,-202,286
-208,1755,-506
845,519,892
440,-1063,1165
-312,791,-246
241,1726,-174
854,-506,1293
112,-716,747
-246,1581,-569
625,893,499
617,-941,1389
-260,58,100
47,1821,-403
329,-1151,1102
-316,1155,-361
390,1351,29
747,-854,1418
-37,-388,427
-208,1645,-601
701,779,678
537,-931,1380
-271,339,-130
51,1810,-380
861,-16,1097
294,-1050,1095
-246,1241,-447
412,1447,148
788,-923,1456
-30,-323,424
202,1715,-257
797,-431,1255
102,-658,837
-274,1549,-542
446,1198,144
-19,1775,-477
867,244,1050
324,-1034,1063
-271,1159,-354
378,1360,57
739,-849,1412
-139,-137,277
-113,1709,-510
809,583,901
-329,708,-165
227,1755,-294
830,-474,1361
122,-598,738
-224,1561,-551
605,901,551
712,-962,1465
-231,-16,164
833,112,1086
411,-916,1311
82,-427,619
531,-720,1313
144,1481,-279
767,-78,1046
750,-158,1011
184,1459,-405
423,-778,1469
-149,325,589
-103,170,847
600,-650,1394
-61,1326,-437
784,-88,238
362,973,-602
-150,438,1146
459,756,-611
640,-631,502
643,-592,457
576,414,-574
-174,1301,923
